slug,line,anchor,url,classification,status,final_url,method,error
abortion,455,Article on this topic,https://www.thegospelcoalition.org/article/topic/,broken,404,https://www.thegospelcoalition.org/article/topic/,HEAD,
abortion,456,Further reading,https://www.crossway.org/articles/topic/,broken,404,https://www.crossway.org/articles/topic/,HEAD,
abortion,466,Article on this topic,https://www.desiringgod.org/articles/topic/,broken,403,https://www.desiringgod.org/articles/topic/,GET,
abortion,467,Further reading,https://www.9marks.org/article/topic/,broken,444,https://www.9marks.org/article/topic/,HEAD,
abortion,477,Article on this topic,https://christianitytoday.com/article/topic/,broken,404,https://www.christianitytoday.com/article/topic/,HEAD,
abortion,478,Further reading,https://firstthings.com/article/topic/,broken,404,https://firstthings.com/article/topic/,HEAD,
abortion,504,Understanding Abortion &amp; the Pro-Life Movement,https://www.thegospelcoalition.org/article/topic-overview/,broken,404,https://www.thegospelcoalition.org/article/topic-overview/,HEAD,
abortion,512,Scripture on Abortion &amp; the Pro-Life Movement: A Biblical Overview,https://www.crossway.org/articles/topic-biblical/,broken,404,https://www.crossway.org/articles/topic-biblical/,HEAD,
abortion,520,Abortion &amp; the Pro-Life Movement and the Gospel,https://www.desiringgod.org/articles/topic-gospel/,broken,403,https://www.desiringgod.org/articles/topic-gospel/,GET,
abortion,528,Historical Perspectives on Abortion &amp; the Pro-Life Movement,https://www.9marks.org/article/topic-history/,broken,404,https://www.9marks.org/article/topic-history/,HEAD,
abortion,536,Position One on Abortion &amp; the Pro-Life Movement,https://www.ligonier.org/learn/articles/topic-position-one/,broken,404,https://learn.ligonier.org/articles/topic-position-one,HEAD,
abortion,544,Alternative Perspectives on Abortion &amp; the Pro-Life Movement,https://www.christianitytoday.com/article/topic-alternative/,broken,404,https://www.christianitytoday.com/article/topic-alternative/,HEAD,
abortion,552,Abortion &amp; the Pro-Life Movement in the Church Today,https://www.albertmohler.com/2024/topic-church-today/,unreachable,,,,timeout
abortion,560,Practicing Abortion &amp; the Pro-Life Movement: From Theology to Life,https://firstthings.com/article/topic-practice/,broken,404,https://firstthings.com/article/topic-practice/,HEAD,
addiction-and-recovery,455,Article on this topic,https://www.thegospelcoalition.org/article/topic/,broken,404,https://www.thegospelcoalition.org/article/topic/,HEAD,
addiction-and-recovery,456,Further reading,https://www.crossway.org/articles/topic/,broken,404,https://www.crossway.org/articles/topic/,HEAD,
addiction-and-recovery,466,Article on this topic,https://www.desiringgod.org/articles/topic/,broken,403,https://www.desiringgod.org/articles/topic/,GET,
addiction-and-recovery,467,Further reading,https://www.9marks.org/article/topic/,broken,444,https://www.9marks.org/article/topic/,HEAD,
addiction-and-recovery,477,Article on this topic,https://christianitytoday.com/article/topic/,broken,404,https://www.christianitytoday.com/article/topic/,HEAD,
addiction-and-recovery,478,Further reading,https://firstthings.com/article/topic/,broken,404,https://firstthings.com/article/topic/,HEAD,
addiction-and-recovery,504,Understanding Addiction &amp; Recovery,https://www.thegospelcoalition.org/article/topic-overview/,broken,404,https://www.thegospelcoalition.org/article/topic-overview/,HEAD,
addiction-and-recovery,512,Scripture on Addiction &amp; Recovery: A Biblical Overview,https://www.crossway.org/articles/topic-biblical/,broken,404,https://www.crossway.org/articles/topic-biblical/,HEAD,
addiction-and-recovery,520,Addiction &amp; Recovery and the Gospel,https://www.desiringgod.org/articles/topic-gospel/,broken,403,https://www.desiringgod.org/articles/topic-gospel/,GET,
addiction-and-recovery,528,Historical Perspectives on Addiction &amp; Recovery,https://www.9marks.org/article/topic-history/,broken,404,https://www.9marks.org/article/topic-history/,HEAD,
addiction-and-recovery,536,Position One on Addiction &amp; Recovery,https://www.ligonier.org/learn/articles/topic-position-one/,broken,404,https://learn.ligonier.org/articles/topic-position-one,HEAD,
addiction-and-recovery,544,Alternative Perspectives on Addiction &amp; Recovery,https://www.christianitytoday.com/article/topic-alternative/,broken,404,https://www.christianitytoday.com/article/topic-alternative/,HEAD,
addiction-and-recovery,552,Addiction &amp; Recovery in the Church Today,https://www.albertmohler.com/2024/topic-church-today/,unreachable,,,,timeout
addiction-and-recovery,560,Practicing Addiction &amp; Recovery: From Theology to Life,https://firstthings.com/article/topic-practice/,broken,404,https://firstthings.com/article/topic-practice/,HEAD,
ai-and-the-church,451,Artificial Intelligence and the Soul,https://www.christianitytoday.com/ct/2023/april/artificial-intelligence/,broken,404,https://www.christianitytoday.com/ct/2023/april/artificial-intelligence/,HEAD,
ai-and-the-church,452,The Spiritual Risks of Technology,https://mereorthodoxy.com/technology-spiritual-risks/,broken,404,https://mereorthodoxy.com/technology-spiritual-risks/,HEAD,
ai-and-the-church,462,The Tech-Wise Family,https://www.ivpress.com/the-tech-wise-family,broken,403,https://www.ivpress.com/the-tech-wise-family,GET,
ai-and-the-church,463,God Has a Better Idea: Cultivating the Technology of Redemption,https://www.christianitytoday.com/ct/2024/march/god-technology-innovation/,broken,404,https://www.christianitytoday.com/ct/2024/march/god-technology-innovation/,HEAD,
ai-and-the-church,473,Discerning Technology for Christian Life,https://www.thegospelcoalition.org/article/technology-christianity/,broken,404,https://www.thegospelcoalition.org/article/technology-christianity/,HEAD,
ai-and-the-church,474,The Technological Dimension of the Gospel,https://www.desiringgod.org/articles/technology-gospel/,broken,403,https://www.desiringgod.org/articles/technology-gospel/,GET,
anxiety-and-fear,448,Let God Blow Away Your Anxiety: Three Big Promises for the Fight,https://www.desiringgod.org/articles/let-god-blow-away-your-anxiety,broken,403,https://www.desiringgod.org/articles/let-god-blow-away-your-anxiety,GET,
anxiety-and-fear,456,For the Fearful and Anxious,https://www.ccef.org/fearful-and-anxious/,live,200,https://www.ccef.org/fearful-and-anxious/,HEAD,
anxiety-and-fear,464,Help! I'm Feeling Anxious About Everything,https://www.crossway.org/articles/help-im-feeling-anxious-about-everything/,live,200,https://www.crossway.org/articles/help-im-feeling-anxious-about-everything/,HEAD,
anxiety-and-fear,472,Take Your Anxiety to Church,https://www.thegospelcoalition.org/article/take-anxiety-church/,live,200,https://www.thegospelcoalition.org/article/take-anxiety-church/,HEAD,
anxiety-and-fear,480,How Should Christians Approach the Subject of Anxiety?,https://erlc.com/resource/how-should-christians-approach-the-subject-of-anxiety/,broken,403,https://erlc.com/resource/how-should-christians-approach-the-subject-of-anxiety/,GET,
anxiety-and-fear,488,Anxious People Need Shepherds Who Point Them to the Chief Shepherd,https://www.9marks.org/article/anxious-people-need-shepherds-who-point-them-to-the-chief-shepherd/,live,200,https://www.9marks.org/article/anxious-people-need-shepherds-who-point-them-to-the-chief-shepherd/,HEAD,
anxiety-and-fear,496,The End of Anxiety,https://www.ligonier.org/learn/sermons/end-anxiety,live,200,https://learn.ligonier.org/sermons/end-anxiety,HEAD,
anxiety-and-fear,504,Anxiety Isn't Unnatural—or Unfaithful,https://www.christianitytoday.com/2025/09/anxiety-isnt-unnaturalor-unfaithful-made-to-tremble/,live,200,https://www.christianitytoday.com/2025/09/anxiety-isnt-unnaturalor-unfaithful-made-to-tremble/,HEAD,
anxiety-and-fear,512,How a Biblical Counselor Thinks About Panic Attacks,https://www.ccef.org/how-biblical-counselor-thinks-about-panic-attacks-most-read-2012-10/,live,200,https://www.ccef.org/how-biblical-counselor-thinks-about-panic-attacks-most-read-2012-10/,HEAD,
anxiety-and-fear,520,Anxiety and Worry Study Guide,https://learn.ligonier.org/guides/anxiety-and-worry,live,200,https://learn.ligonier.org/guides/anxiety-and-worry,HEAD,
anxiety-and-fear,553,For the Fearful and Anxious (CCEF),https://www.ccef.org/fearful-and-anxious/,live,200,https://www.ccef.org/fearful-and-anxious/,HEAD,
anxiety-and-fear,553,Anxious People Need Shepherds (9Marks),https://www.9marks.org/article/anxious-people-need-shepherds-who-point-them-to-the-chief-shepherd/,live,200,https://www.9marks.org/article/anxious-people-need-shepherds-who-point-them-to-the-chief-shepherd/,HEAD,
anxiety-and-fear,561,Help! I'm Feeling Anxious About Everything (Crossway),https://www.crossway.org/articles/help-im-feeling-anxious-about-everything/,live,200,https://www.crossway.org/articles/help-im-feeling-anxious-about-everything/,HEAD,
anxiety-and-fear,561,How Should Christians Approach Anxiety (ERLC),https://erlc.com/resource/how-should-christians-approach-the-subject-of-anxiety/,broken,403,https://erlc.com/resource/how-should-christians-approach-the-subject-of-anxiety/,GET,
anxiety-and-fear,569,Anxiety Isn't Unnatural or Unfaithful (Christianity Today),https://www.christianitytoday.com/2025/09/anxiety-isnt-unnaturalor-unfaithful-made-to-tremble/,live,200,https://www.christianitytoday.com/2025/09/anxiety-isnt-unnaturalor-unfaithful-made-to-tremble/,HEAD,
anxiety-and-fear,569,Take Your Anxiety to Church (TGC),https://www.thegospelcoalition.org/article/take-anxiety-church/,live,200,https://www.thegospelcoalition.org/article/take-anxiety-church/,HEAD,
apologetics,456,Classical Apologetics · The Gospel Coalition,https://www.thegospelcoalition.org/article/classical-apologetics/,broken,404,https://www.thegospelcoalition.org/article/classical-apologetics/,HEAD,
apologetics,457,What Is Classical Apologetics? · Crossway,https://www.crossway.org/articles/what-is-classical-apologetics/,broken,404,https://www.crossway.org/articles/what-is-classical-apologetics/,HEAD,
apologetics,467,Presuppositional Apologetics · The Gospel Coalition,https://www.thegospelcoalition.org/article/presuppositional-apologetics/,broken,404,https://www.thegospelcoalition.org/article/presuppositional-apologetics/,HEAD,
apologetics,468,Cornelius Van Til and Apologetics · Ligonier,https://www.ligonier.org/learn/articles/cornelius-van-til-and-apologetics,broken,404,https://learn.ligonier.org/articles/cornelius-van-til-and-apologetics,HEAD,
apologetics,478,Reformed Epistemology and Apologetics · The Gospel Coalition,https://www.thegospelcoalition.org/article/reformed-epistemology-and-apologetics/,broken,404,https://www.thegospelcoalition.org/article/reformed-epistemology-and-apologetics/,HEAD,
apologetics,479,The Case for Christianity · Desiring God,https://www.desiringgod.org/articles/the-case-for-christianity,broken,403,https://www.desiringgod.org/articles/the-case-for-christianity,GET,
apologetics,505,What Is Apologetics?,https://www.crossway.org/articles/what-is-apologetics/,live,200,https://www.crossway.org/articles/what-is-apologetics/,HEAD,
apologetics,513,"Evangelism and Apologetics: Preaching the Gospel, Answering Objections",https://www.thegospelcoalition.org/article/evangelism-and-apologetics/,live,200,https://www.thegospelcoalition.org/article/evangelism-and-apologetics/,HEAD,
apologetics,521,Why Apologetics?,https://www.ligonier.org/learn/series/defending-your-faith/why-apologetics/,live,200,https://learn.ligonier.org/series/defending-your-faith/why-apologetics,HEAD,
apologetics,529,Presuppositional Apologetics: An Introduction,https://www.thegospelcoalition.org/article/presuppositional-apologetics/,broken,404,https://www.thegospelcoalition.org/article/presuppositional-apologetics/,HEAD,
apologetics,537,The Moral Argument for God’s Existence,https://www.desiringgod.org/articles/the-moral-argument-for-gods-existence,broken,403,https://www.desiringgod.org/articles/the-moral-argument-for-gods-existence,GET,
apologetics,545,"With the Resurrection, the Evidence Tells the Story",https://www.thegospelcoalition.org/article/with-the-resurrection-the-evidence-tells-the-story/,broken,404,https://www.thegospelcoalition.org/article/with-the-resurrection-the-evidence-tells-the-story/,HEAD,
apologetics,553,Historical Evidence for the Resurrection,https://www.desiringgod.org/articles/historical-evidence-for-the-resurrection,broken,403,https://www.desiringgod.org/articles/historical-evidence-for-the-resurrection,GET,
apologetics,561,A Dozen Evidences for the Resurrection of Jesus,https://reasons.org/explore/blogs/reflections/a-dozen-evidences-for-the-resurrection-of-jesus,live,200,https://reasons.org/explore/blogs/reflections/a-dozen-evidences-for-the-resurrection-of-jesus,HEAD,
